statuses_count,default_profile,default_profile_image,verified,favourites_count,followers_count,friends_count,listed_count
6647,False,False,True,5189,10713,329,25
424,True,False,False,3055,18,64,0
10463,False,False,False,20660,6092,292,12
192540,True,False,False,136735,15143,848,124
11374,False,False,True,4835,710714,763,568
9219,False,False,True,2089,242223,23,89
274,True,False,False,2133,15,69,0
27569,False,False,True,48971,1004227,4360,882
12599,False,False,False,133752,7679,1642,48
14377,True,False,True,33314,378940,2004,2830
1196,True,False,False,1398,33902,1,40
